TITAN,54,$1.23 B,$349.00 M,$942.00 M,1.78
HYDRA,60,$1.35 B,$431.00 M,$936.00 M,1.67
JUPITER,53,$969.00 M,$251.00 M,$844.00 M,1.80
DRACO,66,$1.51 B,$208.00 M,$839.00 M,1.64
ORION,61,$1.23 B,$388.00 M,$817.00 M,1.67
PLUTO,57,$1.16 B,$379.00 M,$816.00 M,1.67
LYNX,60,$1.19 B,$379.00 M,$813.00 M,1.67
GEMINI,66,$1.51 B,$283.00 M,$787.00 M,1.53
QUASAR,67,$1.51 B,$278.00 M,$782.00 M,1.53
NEPTUNE,58,$1.04 B,$330.00 M,$763.00 M,1.67
SNOOPY,57,$1.03 B,$327.00 M,$760.00 M,1.67
SATURN,66,$1.42 B,$247.00 M,$752.00 M,1.53
URSA,59,$1.03 B,$322.00 M,$751.00 M,1.67
BART,62,$1.28 B,$112.00 M,$742.00 M,1.67
ATLAS,60,$1.21 B,$95.80 M,$731.00 M,1.67
MARS,60,$1.21 B,$95.80 M,$721.00 M,1.67
VENUS,66,$1.35 B,$222.00 M,$655.00 M,1.53
