URSA,51,$1.26 B,$308.00 M,$308.00 M,1.88
TITAN,51,$1.26 B,$308.00 M,$308.00 M,1.88
SATURN,51,$1.26 B,$308.00 M,$308.00 M,1.88
PEGASUS,51,$1.26 B,$308.00 M,$308.00 M,1.88
ORION,51,$1.26 B,$308.00 M,$308.00 M,1.88
NEPTUNE,51,$1.26 B,$308.00 M,$308.00 M,1.88
MERCURY,51,$1.26 B,$308.00 M,$308.00 M,1.88
MARS,51,$1.26 B,$308.00 M,$308.00 M,1.88
JUPITER,51,$1.26 B,$308.00 M,$308.00 M,1.88
GEMINI,51,$1.26 B,$308.00 M,$308.00 M,1.88
DRACO,51,$1.26 B,$308.00 M,$308.00 M,1.88
ATLAS,51,$1.26 B,$308.00 M,$308.00 M,1.88
VENUS,52,$1.22 B,$305.00 M,$305.00 M,1.86
HYDRA,52,$1.22 B,$305.00 M,$305.00 M,1.86
DORADO,52,$1.22 B,$305.00 M,$305.00 M,1.86
PLUTO,50,$1.22 B,$296.00 M,$296.00 M,1.88
LIBRA,50,$1.22 B,$296.00 M,$296.00 M,1.88
