GEMINI,66,$6.03 B,$1.77 B,$4.68 B,6.57
QUASAR,66,$6.03 B,$1.76 B,$4.68 B,6.57
SATURN,61,$5.67 B,$1.70 B,$4.61 B,6.99
HYDRA,65,$5.40 B,$1.55 B,$4.46 B,6.57
DRACO,61,$6.03 B,$1.73 B,$4.30 B,6.99
VENUS,61,$5.40 B,$1.55 B,$4.25 B,6.99
ORION,58,$4.94 B,$1.34 B,$4.03 B,7.13
PLUTO,52,$4.65 B,$1.30 B,$4.02 B,7.20
LYNX,58,$4.77 B,$1.29 B,$3.99 B,7.13
BART,53,$5.10 B,$1.42 B,$3.99 B,7.20
ATLAS,58,$4.85 B,$1.31 B,$3.92 B,7.13
MARS,58,$4.85 B,$1.31 B,$3.88 B,7.13
NEPTUNE,52,$4.18 B,$1.15 B,$3.85 B,7.20
URSA,52,$4.14 B,$1.15 B,$3.85 B,7.20
SNOOPY,52,$4.14 B,$1.14 B,$3.84 B,7.20
TITAN,56,$4.94 B,$1.34 B,$3.74 B,7.13
JUPITER,51,$3.88 B,$1.07 B,$3.45 B,7.20
